Sample ID,Lamination Temperature (Celsius),Lamination Pressure (MPa),Lamination Time (min),PL Normalized Max Intensity Location-Averaged (counts/sec)count,PL Normalized Max Intensity Location-Averaged (counts/sec)mean,PL Normalized Max Intensity Location-Averaged (counts/sec)std,Actual Sample-to-sample Stdev,PL Normalized Max Intensity Parameter-Averaged (counts/sec)std,N1 (# measurements),Stdev_1,Stdev_2,Stdev_eff
sl81,150,5.515,10,9,10.84082369,2.70568577,4.019770349,3.788444436,9,0.901895257,4.019770349,4.11970493
sl33,150,5.515,15,9,7.121653481,1.266426806,3.782887018,3.571733392,9,0.422142269,3.782887018,3.806368123
sl38,150,5.515,15,9,5.705609037,0.316664786,3.782887018,3.571733392,9,0.105554929,3.782887018,3.784359396
sl54,150,5.515,15,9,12.84999795,2.749366782,3.782887018,3.571733392,9,0.916455594,3.782887018,3.892316155
sl76,150,8.27,5,9,6.684056772,2.608373688,2.01588966,2.312591046,9,0.869457896,2.01588966,2.195397038
sl78,150,8.27,5,9,4.228951555,0.564866925,2.01588966,2.312591046,9,0.188288975,2.01588966,2.024663888
sl84,150,8.27,5,9,2.686887376,1.055930115,2.01588966,2.312591046,9,0.351976705,2.01588966,2.046386748
sl29,150,8.27,10,9,3.115924736,0.560941447,3.299067564,3.107616271,9,0.186980482,3.299067564,3.30436204
sl30,150,8.27,10,9,4.203485887,1.100175599,3.299067564,3.107616271,9,0.3667252,3.299067564,3.319387619
sl36,150,8.27,10,9,9.295701091,2.31785665,3.299067564,3.107616271,9,0.772618883,3.299067564,3.388330965
sl70,150,8.27,15,9,5.20621088,0.921517337,1.033311872,1.504589797,9,0.307172446,1.033311872,1.078002012
sl71,150,8.27,15,9,5.669044278,0.482914421,1.033311872,1.504589797,9,0.160971474,1.033311872,1.045774947
sl82,150,8.27,15,9,7.181915173,1.967871501,1.033311872,1.504589797,9,0.655957167,1.033311872,1.223933507
