Time (sec),Pressure (MPa),Temp (C),Mean,StDev,Lower CI,Upper CI
5.0,2.76,100.0,177.21828416120724,25.887367475954704,132.85176211821013,236.40123202202895
5.0,2.87244898,100.0,178.589311571779,25.516822621051986,134.70427537288205,236.77156585709
5.0,2.984897959,100.0,180.0055210575819,25.179986897198006,136.5574266042395,237.27737419303153
5.0,3.097346939,100.0,181.4611646152336,24.863644357194737,138.42413303522463,237.87871046400357
5.0,3.209795918,100.0,182.9496117322768,24.552947387729624,140.31941856647333,238.53120811739183
5.0,3.3222448979999997,100.0,184.46330117358445,24.231884251737846,142.25971284429912,239.1872498512505
5.0,3.434693878,100.0,185.99369979793747,23.883789261249227,144.26210127317367,239.79725831817058
5.0,3.547142857,100.0,187.5312715858903,23.491863442971287,146.34358213871064,240.3110359105958
5.0,3.659591837,100.0,189.06545994298372,23.03968057064548,148.52037078720247,240.6790930697844
5.0,3.772040816,100.0,190.58468661449407,22.5116617974723,150.80727268530987,240.85391987519907
5.0,3.884489796,100.0,192.076371246798,21.893509774985333,153.21713135149457,240.7911704514359
5.0,3.996938776,100.0,193.52697502053584,21.1725994682779,155.76034347348286,240.45074134659447
5.0,4.109387755,100.0,194.92207257587432,20.338326779312318,158.4444264957051,239.79773361295437
5.0,4.221836735,100.0,196.24645590308023,19.382418738118353,161.27361902420395,238.80329397667737
5.0,4.334285714,100.0,197.4842737083953,18.299210817771836,164.24849227738014,237.44533554846748
5.0,4.446734694,100.0,198.61920983419182,17.085898808398262,167.3655494619075,235.70914469550056
5.0,4.559183673,100.0,199.63470313466678,15.742777859249003,170.61678200813282,233.58789344512883
5.0,4.671632653,100.0,200.51421120567485,14.273492144768795,173.98913398930443,231.08310256837962
5.0,4.784081633,100.0,201.24151879128695,12.685347742630945,177.463771691374,228.2051626618978
5.0,4.896530612,100.0,201.80109113051446,10.989815725284934,181.0149117769983,224.97417467813804
5.0,5.008979592,100.0,202.1784708363212,9.203570464049818,184.60753072609413,221.4218125822934
5.0,5.121428571,100.0,202.36071555749194,7.351135189366545,188.19182996730825,217.59637072477443
5.0,5.233877551,100.0,202.33687225690105,5.473154863021641,191.68644076440432,213.5790602164909
5.0,5.346326531,100.0,202.0984822350353,3.659821719750994,194.9113475133842,209.55063439238816
5.0,5.45877551,100.0,201.6401098450338,2.230942601308989,197.22758481968788,206.15135522492383
5.0,5.57122449,100.0,200.95988637790856,2.222527406233823,196.56398589293883,205.45409551787412
5.0,5.683673469,100.0,200.05998688768042,3.6178564913806284,192.95508075128578,207.4265067168083
5.0,5.796122449,100.0,198.9465843948938,5.368327384426387,188.4994343265221,209.97274386422765
5.0,5.908571429,100.0,197.62929280399905,7.154217882005369,183.83814812837346,212.45501965639494
5.0,6.021020408,100.0,196.1205622044466,8.887183346892265,179.1499919588547,214.69872534642377
5.0,6.133469388,100.0,194.43510675054046,10.529053483620828,174.5140142723099,216.63022820679322
5.0,6.245918367,100.0,192.58937077943105,12.058199942804002,169.97704791894745,218.20984769016346
5.0,6.358367347,100.0,190.60103700783242,13.461140868341097,165.57074297426777,219.41530644763216
5.0,6.470816327,100.0,188.48858026484686,14.729785441262273,161.31729146414503,220.23643322919412
5.0,6.583265306,100.0,186.2708681173242,15.860289242752472,157.23187957904807,220.67303655005796
5.0,6.695714286,100.0,183.96680904096746,16.85244783258728,153.3239973447455,220.73378867509462
5.0,6.808163265,100.0,181.59504777447088,17.709284732678313,149.59828500791733,220.43542393863058
5.0,6.920612245,100.0,179.1737058290094,18.436708456229624,146.05516405645452,219.801997881373
5.0,7.033061224,100.0,176.72016552729127,19.043187982508933,142.691357559169,218.86410948920474
5.0,7.145510204,100.0,174.25089410245675,19.539425216818984,139.5003494937898,217.65805036106573
5.0,7.257959184,100.0,171.78130537375068,19.938014007250175,136.47281515188678,216.22487118088748
5.0,7.370408163,100.0,169.32565513789802,20.253080335046242,133.59704590609243,214.6093672462774
5.0,7.482857143,100.0,166.89696714586896,20.499900149384032,130.8593899327355,212.85899053027163
5.0,7.595306122,100.0,164.5069866230946,20.69449292137695,128.24472777839722,211.022699463905
5.0,7.707755102,100.0,162.16615769964173,20.853191281985403,125.73699607381627,209.14976120175788
5.0,7.820204082,100.0,159.88362251985774,20.992190682331852,123.31976567540863,207.28852840473604
5.0,7.932653061,100.0,157.66723884335445,21.127088619008315,120.97686667994985,205.4852211559831
5.0,8.045102041,100.0,155.52361392140128,21.272429788431467,118.69303784054966,203.78275699427553
5.0,8.15755102,100.0,153.4581525627736,21.441280622447174,116.45456138163487,202.21968387142357
5.0,8.27,100.0,151.4751167592104,21.644861940138263,114.24983048892622,200.82927824947927
5.0,2.76,101.0204082,178.0457760053976,25.24981870864081,134.5693003671049,235.56857520166812
5.0,2.87244898,101.0204082,179.38789500890888,24.88674042913069,136.39154344135036,235.93850515787312
5.0,2.984897959,101.0204082,180.77536558687714,24.562882780356055,138.20568840523325,236.45721952665747
5.0,3.097346939,101.0204082,182.202421299171,24.264576174180284,140.02535158864697,237.0836562853681
5.0,3.209795918,101.0204082,183.66240704782342,23.976408632452376,141.86644531463895,237.77207984444846
5.0,3.3222448979999997,101.0204082,185.14773231565474,23.68174117649486,143.74638720437068,238.47335191035012
5.0,3.434693878,101.0204082,186.64983181715695,23.36326574333612,145.68326156489755,239.13632453824204
5.0,3.547142857,101.0204082,188.1591366510381,23.0035683890451,147.69499883166992,239.70927238785032
5.0,3.659591837,101.0204082,189.66505892037102,22.585669710771747,149.79861847044586,240.14129731353285
5.0,3.772040816,101.0204082,191.15599305226306,22.093524972785872,152.00955823787604,240.38365812901952
5.0,3.884489796,101.0204082,192.61933774122852,21.512475858937798,154.34109334103255,240.39099677678374
5.0,3.996938776,101.0204082,194.0415418522061,20.82965330029576,156.8038330269564,240.12244622813944
5.0,4.109387755,101.0204082,195.40817841230458,20.034335554313884,159.4052735428642,239.54261576011973
5.0,4.221836735,101.0204082,196.70405029559416,19.118269080121564,162.14938014034846,238.6224564608347
5.0,4.334285714,101.0204082,197.91333105647988,18.075962702227237,165.03616649047115,237.3400172993801
5.0,4.446734694,101.0204082,199.0197444416014,16.90496980939733,168.06123389200374,235.68111312959306
5.0,4.559183673,101.0204082,200.00678496100952,15.606183547710103,171.21521474593553,233.63994893677594
5.0,4.671632653,101.0204082,200.8579818948045,14.184191848625758,174.48302518237176,231.2197925768748
5.0,4.784081633,101.0204082,201.55720756567223,12.647793127865071,177.84272772194498,228.43390023340527
5.0,4.896530612,101.0204082,202.08903014843233,11.010907530508803,181.26354212172592,225.30717224376113
5.0,5.008979592,101.0204082,202.43910963892986,9.294489682363839,184.70180563357198,221.87976436302733
5.0,5.121428571,101.0204082,202.59463427520006,7.531194174072198,188.09139916233337,218.21617585862217
5.0,5.233877551,101.0204082,202.54479328623788,5.778594108462563,191.31706319721138,214.43143963106164
5.0,5.346326531,101.0204082,202.28128013822115,4.162753604351501,194.12703133956916,210.77804575697516
5.0,5.45877551,101.0204082,201.7988189893775,3.02223488114398,195.8448537796338,207.93379330420973
5.0,5.57122449,101.0204082,201.095699268643,3.0056203616815367,195.17428380407077,207.19676525079691
5.0,5.683673469,101.0204082,200.1742010077871,4.102979142749668,192.1363699940964,208.54828656509508
5.0,5.796122449,101.0204082,199.0405481440067,5.651483944131201,188.0582542401889,210.6641900167137
5.0,5.908571429,101.0204082,197.70440030185623,7.308653115006734,183.6267240461555,212.86133650618243
5.0,6.021020408,101.0204082,196.17825470776188,8.94913761988709,179.0947598572622,214.89131033681056
5.0,6.133469388,101.0204082,194.4768742363513,10.517571865484825,174.5760315237282,216.6463189856675
5.0,6.245918367,101.0204082,192.61675376440547,11.984177870570761,170.13392633630227,218.0706378185853
5.0,6.358367347,101.0204082,190.61562880262588,13.33126307958257,165.80879182096575,219.13384413929603
5.0,6.470816327,101.0204082,188.492029734953,14.548393627954134,161.62780031008447,219.821374821901
5.0,6.583265306,101.0204082,186.26488287418542,15.630354230245082,157.6091898440988,220.13060676507914
5.0,6.695714286,101.0204082,183.9531588578436,16.57612244155927,153.76441032601275,220.06890009224983
5.0,6.808163265,101.0204082,181.57556791115246,17.388246423167317,150.09938799524153,219.6523736879108
5.0,6.920612245,101.0204082,179.15029986067142,18.07239094851085,146.61537568266456,218.90493947670797
5.0,7.033061224,101.0204082,176.69480721447874,18.63695208567554,143.30959127808603,217.8573996207882
5.0,7.145510204,101.0204082,174.22562780637602,19.09269545696963,140.17574124151724,216.54652306939576
5.0,7.257959184,101.0204082,171.7582445226362,19.452395213036446,137.20448610300258,215.01406695514837
5.0,7.370408163,101.0204082,169.30697828456607,19.73046099293773,134.38388598901312,213.30572996076404
