Time (sec),Pressure (MPa),Temp (C),Mean,StDev,Lower CI,Upper CI
5.0,2.76,100.0,1.3481998444974475,0.5928670440525576,0.6097068461495906,2.981175022359821
5.0,2.8724489799999997,100.0,1.3643941147982084,0.5981459342989526,0.6182839869037198,3.0108677240995303
5.0,2.9848979589999995,100.0,1.379390134478323,0.6059262061546795,0.6242585354048957,3.047963360023614
5.0,3.097346939,100.0,1.393290404155167,0.6157037214933108,0.6280608791296005,3.090875765102844
5.0,3.209795918,100.0,1.406255056307202,0.6267692920420596,0.6303171070921424,3.1373942752603807
5.0,3.322244898,100.0,1.4184897233312717,0.6382645808970164,0.6317789360001898,3.1848372595882553
5.0,3.434693878,100.0,1.4302299714536124,0.6492436494868008,0.6332546705554449,3.230229268502648
5.0,3.547142857,100.0,1.441723879197779,0.6587300223449066,0.6355552428087706,3.270475332188397
5.0,3.659591837,100.0,1.4532141123486826,0.6657635405588298,0.6394614079606212,3.3025155701959403
5.0,3.772040816,100.0,1.4649204314089947,0.6694354872633042,0.6457114391789414,3.3234533882321577
5.0,3.8844897960000004,100.0,1.477023122318411,0.6689133308635629,0.6550048616815072,3.330658185135759
5.0,3.996938776,100.0,1.4896474728027618,0.6634578123041712,0.668016621874581,3.321847871091266
5.0,4.109387755,100.0,1.5028492103420295,0.6524353968892826,0.6854165064577511,3.2951580940148815
5.0,4.221836735,100.0,1.5166007773217347,0.6353287574070569,0.7078895373750601,3.2492045670032876
5.0,4.334285714,100.0,1.530778459463793,0.6117473041728776,0.7361537653706819,3.183142982062192
5.0,4.446734694,100.0,1.5451507011822547,0.5814390382224212,0.7709719978990998,3.0967281507887843
5.0,4.559183673,100.0,1.5593684118833218,0.5443043800428996,0.81315328510152,2.9903708052731184
5.0,4.671632653,100.0,1.5729587009810628,0.5004123164288234,0.8635382665604564,2.8651875322757503
5.0,4.784081633,100.0,1.5853242137051147,0.450019688521063,0.922959181044555,2.723037935128807
5.0,4.896530612,100.0,1.5957510386077123,0.3935966630360719,0.9921590026784374,2.566545654822725
5.0,5.008979592,100.0,1.6034288751231718,0.33186841098448566,1.0716394272681302,2.399113071206073
5.0,5.121428571,100.0,1.6074876184474307,0.26590588205974297,1.1613628269719563,2.224986355210928
5.0,5.233877551,100.0,1.6070544892938003,0.1973908447103448,1.2600526569297876,2.049616035771167
5.0,5.346326531,100.0,1.6013350321677406,0.1296880750807276,1.3628290996513535,1.8815813999742639
5.0,5.45877551,100.0,1.5897195494490777,0.07426967403873563,1.4481046898432728,1.7451833859982153
5.0,5.57122449,100.0,1.5719137739624351,0.07340315325081248,1.4319479506269108,1.7255605636301607
5.0,5.683673469,100.0,1.5480665620497915,0.12521870985038813,1.317755483523519,1.8186303229250715
5.0,5.796122449,100.0,1.5187508744083982,0.18616499485075694,1.1913943593278804,1.9360543387309082
5.0,5.908571429,100.0,1.4848084956665266,0.24489117749705303,1.073721090498441,2.053285800486653
5.0,6.021020408,100.0,1.4472085685986718,0.298343481667143,0.9687037141767654,2.1620776408453373
5.0,6.133469388,100.0,1.4069427897249407,0.3452252494649587,0.876779511321153,2.2576805091809877
5.0,6.245918367,100.0,1.3649539210409976,0.38490039228951045,0.7972641325522606,2.3368657017103023
5.0,6.358367347,100.0,1.3220923804115514,0.4171132843614648,0.7290591474228795,2.3975122848687387
5.0,6.470816327,100.0,1.2790948862853655,0.4418845948486606,0.6709435518660943,2.438481931260737
5.0,6.583265306,100.0,1.2365791819873655,0.459456319520101,0.6217133738235203,2.4595386519039244
5.0,6.695714286,100.0,1.1950495393987224,0.4702526557800881,0.5802489890058299,2.4612596121261823
5.0,6.808163265,100.0,1.15490869884346,0.47484657871259184,0.5455430098489057,2.444929324699273
5.0,6.920612245,100.0,1.1164729081879403,0.47392913514732243,0.5167055061533434,2.412422046742633
5.0,7.033061224,100.0,1.0799876791451022,0.4682808937898711,0.49295609235733173,2.366079667516816
5.0,7.145510204,100.0,1.04564263308237,0.4587457354109509,0.4736084950865043,2.3085914367303078
5.0,7.257959184,100.0,1.0135844321313279,0.4462072409054941,0.45805099660930876,2.242879960231285
5.0,7.370408163,100.0,0.9839272137091933,0.43156773188804054,0.44572495303905324,2.1719958805912154
5.0,7.482857143,100.0,0.9567602723423488,0.41572967334125566,0.43610322136622764,2.0990219147312503
5.0,7.595306122,100.0,0.9321529561712073,0.3995786867442234,0.42867064431358787,2.0269853912904816
5.0,7.707755102,100.0,0.9101569130494901,0.3839668544338908,0.4229096005508858,1.9587770182864488
5.0,7.820204082,100.0,0.8908059955378521,0.36969447297590263,0.41829466155151657,1.8970725534551272
5.0,7.932653061,100.0,0.8741142899415966,0.35748826766400155,0.4143007724886981,1.8442538431447044
5.0,8.045102041,100.0,0.8600729227663058,0.347974934372589,0.41042784807770094,1.8023275855680567
5.0,8.15755102,100.0,0.8486464594269999,0.34165121737619897,0.4062401437806935,1.7728450132854894
5.0,8.27,100.0,0.8397697958871638,0.33885526086269024,0.4014117425902328,1.7568327860409938
5.0,2.76,101.0204082,1.3559779611820586,0.6473251209548686,0.5801285397304845,3.169429023549959
5.0,2.8724489799999997,101.0204082,1.3715206389413057,0.652885323863243,0.5879309780599034,3.1994722735128756
5.0,2.9848979589999995,101.0204082,1.3859787292174282,0.660373211868007,0.5937530287722983,3.2352458762443264
5.0,3.097346939,101.0204082,1.3994361942180982,0.6693808744424002,0.5979118637729247,3.2754353615425256
5.0,3.209795918,101.0204082,1.41202469529487,0.6793428519192986,0.6008654136212038,3.318236821298398
