Time_min,Pressure_MPA,Temperature_C
5,2.76,100
5,2.87244898,100
5,2.984897959,100
5,3.097346939,100
5,3.209795918,100
5,3.322244898,100
5,3.434693878,100
5,3.547142857,100
5,3.659591837,100
5,3.772040816,100
5,3.884489796,100
5,3.996938776,100
5,4.109387755,100
5,4.221836735,100
5,4.334285714,100
5,4.446734694,100
5,4.559183673,100
5,4.671632653,100
5,4.784081633,100
5,4.896530612,100
5,5.008979592,100
5,5.121428571,100
5,5.233877551,100
5,5.346326531,100
5,5.45877551,100
5,5.57122449,100
5,5.683673469,100
5,5.796122449,100
5,5.908571429,100
5,6.021020408,100
5,6.133469388,100
5,6.245918367,100
5,6.358367347,100
5,6.470816327,100
5,6.583265306,100
5,6.695714286,100
5,6.808163265,100
5,6.920612245,100
5,7.033061224,100
5,7.145510204,100
5,7.257959184,100
5,7.370408163,100
5,7.482857143,100
5,7.595306122,100
5,7.707755102,100
5,7.820204082,100
5,7.932653061,100
5,8.045102041,100
5,8.15755102,100
5,8.27,100
5,2.76,101.0204082
5,2.87244898,101.0204082
5,2.984897959,101.0204082
5,3.097346939,101.0204082
5,3.209795918,101.0204082
5,3.322244898,101.0204082
5,3.434693878,101.0204082
5,3.547142857,101.0204082
5,3.659591837,101.0204082
5,3.772040816,101.0204082
5,3.884489796,101.0204082
5,3.996938776,101.0204082
5,4.109387755,101.0204082
5,4.221836735,101.0204082
5,4.334285714,101.0204082
5,4.446734694,101.0204082
5,4.559183673,101.0204082
5,4.671632653,101.0204082
5,4.784081633,101.0204082
5,4.896530612,101.0204082
5,5.008979592,101.0204082
5,5.121428571,101.0204082
5,5.233877551,101.0204082
5,5.346326531,101.0204082
5,5.45877551,101.0204082
5,5.57122449,101.0204082
5,5.683673469,101.0204082
5,5.796122449,101.0204082
5,5.908571429,101.0204082
5,6.021020408,101.0204082
5,6.133469388,101.0204082
5,6.245918367,101.0204082
5,6.358367347,101.0204082
5,6.470816327,101.0204082
5,6.583265306,101.0204082
5,6.695714286,101.0204082
5,6.808163265,101.0204082
5,6.920612245,101.0204082
5,7.033061224,101.0204082
5,7.145510204,101.0204082
5,7.257959184,101.0204082
5,7.370408163,101.0204082
5,7.482857143,101.0204082
5,7.595306122,101.0204082
5,7.707755102,101.0204082
5,7.820204082,101.0204082
5,7.932653061,101.0204082
5,8.045102041,101.0204082
5,8.15755102,101.0204082
5,8.27,101.0204082
5,2.76,102.0408163
5,2.87244898,102.0408163
5,2.984897959,102.0408163
5,3.097346939,102.0408163
5,3.209795918,102.0408163
5,3.322244898,102.0408163
5,3.434693878,102.0408163
5,3.547142857,102.0408163
5,3.659591837,102.0408163
5,3.772040816,102.0408163
5,3.884489796,102.0408163
5,3.996938776,102.0408163
5,4.109387755,102.0408163
5,4.221836735,102.0408163
5,4.334285714,102.0408163
5,4.446734694,102.0408163
5,4.559183673,102.0408163
5,4.671632653,102.0408163
5,4.784081633,102.0408163
5,4.896530612,102.0408163
5,5.008979592,102.0408163
5,5.121428571,102.0408163
5,5.233877551,102.0408163
5,5.346326531,102.0408163
5,5.45877551,102.0408163
5,5.57122449,102.0408163
5,5.683673469,102.0408163
5,5.796122449,102.0408163
5,5.908571429,102.0408163
5,6.021020408,102.0408163
5,6.133469388,102.0408163
5,6.245918367,102.0408163
5,6.358367347,102.0408163
5,6.470816327,102.0408163
5,6.583265306,102.0408163
5,6.695714286,102.0408163
5,6.808163265,102.0408163
5,6.920612245,102.0408163
5,7.033061224,102.0408163
5,7.145510204,102.0408163
5,7.257959184,102.0408163
5,7.370408163,102.0408163
5,7.482857143,102.0408163
5,7.595306122,102.0408163
5,7.707755102,102.0408163
5,7.820204082,102.0408163
5,7.932653061,102.0408163
5,8.045102041,102.0408163
5,8.15755102,102.0408163
5,8.27,102.0408163
5,2.76,103.0612245
5,2.87244898,103.0612245
5,2.984897959,103.0612245
5,3.097346939,103.0612245
5,3.209795918,103.0612245
5,3.322244898,103.0612245
5,3.434693878,103.0612245
5,3.547142857,103.0612245
5,3.659591837,103.0612245
5,3.772040816,103.0612245
5,3.884489796,103.0612245
5,3.996938776,103.0612245
5,4.109387755,103.0612245
5,4.221836735,103.0612245
5,4.334285714,103.0612245
5,4.446734694,103.0612245
5,4.559183673,103.0612245
5,4.671632653,103.0612245
5,4.784081633,103.0612245
5,4.896530612,103.0612245
5,5.008979592,103.0612245
5,5.121428571,103.0612245
5,5.233877551,103.0612245
5,5.346326531,103.0612245
5,5.45877551,103.0612245
5,5.57122449,103.0612245
5,5.683673469,103.0612245
5,5.796122449,103.0612245
5,5.908571429,103.0612245
5,6.021020408,103.0612245
5,6.133469388,103.0612245
5,6.245918367,103.0612245
5,6.358367347,103.0612245
5,6.470816327,103.0612245
5,6.583265306,103.0612245
5,6.695714286,103.0612245
5,6.808163265,103.0612245
5,6.920612245,103.0612245
5,7.033061224,103.0612245
5,7.145510204,103.0612245
5,7.257959184,103.0612245
5,7.370408163,103.0612245
5,7.482857143,103.0612245
5,7.595306122,103.0612245
5,7.707755102,103.0612245
5,7.820204082,103.0612245
5,7.932653061,103.0612245
5,8.045102041,103.0612245
5,8.15755102,103.0612245
5,8.27,103.0612245
5,2.76,104.0816327
5,2.87244898,104.0816327
5,2.984897959,104.0816327
5,3.097346939,104.0816327
5,3.209795918,104.0816327
5,3.322244898,104.0816327
5,3.434693878,104.0816327
5,3.547142857,104.0816327
5,3.659591837,104.0816327
5,3.772040816,104.0816327
5,3.884489796,104.0816327
5,3.996938776,104.0816327
5,4.109387755,104.0816327
5,4.221836735,104.0816327
5,4.334285714,104.0816327
5,4.446734694,104.0816327
5,4.559183673,104.0816327
5,4.671632653,104.0816327
5,4.784081633,104.0816327
5,4.896530612,104.0816327
5,5.008979592,104.0816327
5,5.121428571,104.0816327
5,5.233877551,104.0816327
5,5.346326531,104.0816327
5,5.45877551,104.0816327
5,5.57122449,104.0816327
5,5.683673469,104.0816327
5,5.796122449,104.0816327
