Time_min,Pressure_MPA,Temperature_C
5.0,0.0,70.0
5.0,0.16877551020408163,70.0
5.0,0.33755102040816326,70.0
5.0,0.5063265306122449,70.0
5.0,0.6751020408163265,70.0
5.0,0.8438775510204082,70.0
5.0,1.0126530612244897,70.0
5.0,1.1814285714285715,70.0
5.0,1.350204081632653,70.0
5.0,1.5189795918367346,70.0
5.0,1.6877551020408164,70.0
5.0,1.856530612244898,70.0
5.0,2.0253061224489795,70.0
5.0,2.194081632653061,70.0
5.0,2.362857142857143,70.0
5.0,2.5316326530612243,70.0
5.0,2.700408163265306,70.0
5.0,2.869183673469388,70.0
5.0,3.037959183673469,70.0
5.0,3.206734693877551,70.0
5.0,3.3755102040816327,70.0
5.0,3.544285714285714,70.0
5.0,3.713061224489796,70.0
5.0,3.8818367346938776,70.0
5.0,4.050612244897959,70.0
5.0,4.219387755102041,70.0
5.0,4.388163265306122,70.0
5.0,4.556938775510204,70.0
5.0,4.725714285714286,70.0
5.0,4.894489795918367,70.0
5.0,5.063265306122449,70.0
5.0,5.23204081632653,70.0
5.0,5.400816326530612,70.0
5.0,5.569591836734694,70.0
5.0,5.738367346938776,70.0
5.0,5.9071428571428575,70.0
5.0,6.075918367346938,70.0
5.0,6.24469387755102,70.0
5.0,6.413469387755102,70.0
5.0,6.582244897959184,70.0
5.0,6.751020408163265,70.0
5.0,6.919795918367347,70.0
5.0,7.088571428571428,70.0
5.0,7.25734693877551,70.0
5.0,7.426122448979592,70.0
5.0,7.594897959183673,70.0
5.0,7.763673469387755,70.0
5.0,7.932448979591837,70.0
5.0,8.101224489795918,70.0
5.0,8.27,70.0
5.0,0.0,71.63265306122449
5.0,0.16877551020408163,71.63265306122449
5.0,0.33755102040816326,71.63265306122449
5.0,0.5063265306122449,71.63265306122449
5.0,0.6751020408163265,71.63265306122449
5.0,0.8438775510204082,71.63265306122449
5.0,1.0126530612244897,71.63265306122449
5.0,1.1814285714285715,71.63265306122449
5.0,1.350204081632653,71.63265306122449
5.0,1.5189795918367346,71.63265306122449
