Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),Estimated Grain Size (nm)
sl57,15,2.76,120,236.2352941
sl57,15,2.76,120,194.6146341
sl57,15,2.76,120,227.7028571
sl57,15,2.76,120,209.8526316
sl57,15,2.76,120,257.2387097
sl59,5,5.515,100,189.9809524
sl59,5,5.515,100,199.48
sl59,5,5.515,100,198.84
sl59,5,5.515,100,221.5111111
sl59,5,5.515,100,214.9621622
sl59,5,5.515,100,180.7636364
sl59,5,5.515,100,189.1047619
sl59,5,5.515,100,180.1818182
sl60,15,5.515,100,199.48
sl60,15,5.515,100,185.4511628
sl60,15,5.515,100,199.24
sl60,15,5.515,100,185.0790698
sl60,15,5.515,100,195.1219512
sl60,15,5.515,100,195.1219512
sl60,15,5.515,100,195.1219512
sl60,15,5.515,100,181.9272727
